Homo	Pan	Gorilla	Pongo	Macaca	Callithrix	Tarsius	Otolemur	Tupaia	Mus	 pair 
2	2	2	2	2	2	2	2	2	2	ENSG00000213949_ENSG00000164171
2	2	2	2	2	2	2	2	2	2	ENSG00000101542_ENSG00000081138
2	2	2	2	2	2	2	2	1	2	ENSG00000174327_ENSG00000174326
2	2	2	2	2	2	2	2	1	2	ENSG00000164037_ENSG00000164038
2	2	2	2	2	2	2	2	2	2	ENSG00000185008_ENSG00000169855
2	2	2	2	2	2	2	2	1	2	ENSG00000084072_ENSG00000171960
2	2	2	2	2	2	0	2	2	2	ENSG00000116661_ENSG00000116663
2	2	2	2	2	2	2	2	1	2	ENSG00000147432_ENSG00000147434
2	2	2	2	2	2	1	1	2	2	ENSG00000172940_ENSG00000144671
2	2	2	2	2	2	1	2	2	2	ENSG00000127954_ENSG00000157214
2	2	2	2	2	2	1	2	2	2	ENSG00000166828_ENSG00000168447
2	2	2	2	2	2	2	2	2	2	ENSG00000006377_ENSG00000105880
2	2	2	2	2	2	2	2	2	2	ENSG00000140157_ENSG00000170113
2	2	2	2	2	2	2	2	2	2	ENSG00000184302_ENSG00000126778
2	2	2	2	2	2	2	2	2	2	ENSG00000082293_ENSG00000112280
2	2	2	2	2	2	0	2	2	2	ENSG00000185933_ENSG00000183128
2	2	2	2	2	2	2	2	2	2	ENSG00000001561_ENSG00000112796
2	2	2	2	2	2	1	2	2	2	ENSG00000143771_ENSG00000143786
2	2	2	2	2	2	0	2	1	2	ENSG00000135902_ENSG00000196811
2	2	2	2	2	2	2	2	1	2	ENSG00000167311_ENSG00000129744
2	2	2	2	2	2	1	2	1	2	ENSG00000151704_ENSG00000120457
2	2	2	2	2	2	2	2	1	2	ENSG00000168229_ENSG00000125384
2	2	2	2	2	2	2	1	0	2	ENSG00000134533_ENSG00000111404
2	2	2	2	2	2	0	2	2	2	ENSG00000185674_ENSG00000144214
2	2	2	2	2	2	2	2	2	2	ENSG00000153002_ENSG00000163751
2	2	2	2	2	2	2	2	2	2	ENSG00000145569_ENSG00000154124
2	2	2	2	2	2	2	2	1	2	ENSG00000197147_ENSG00000171488
2	2	2	2	2	2	1	2	2	2	ENSG00000169740_ENSG00000165512
2	2	2	2	2	2	0	2	1	2	ENSG00000134824_ENSG00000221968
2	2	2	2	2	2	2	2	2	2	ENSG00000114204_ENSG00000163536
2	2	2	2	2	2	2	2	2	2	ENSG00000157131_ENSG00000021852
2	2	2	2	2	0	2	0	2	1	ENSG00000137959_ENSG00000137965
2	2	2	2	2	2	1	2	1	2	ENSG00000122176_ENSG00000188783
2	2	2	2	2	2	1	2	1	2	ENSG00000057593_ENSG00000126218
2	2	2	2	2	2	2	2	2	2	ENSG00000174473_ENSG00000109586
