From	To
Q86V97	CCDS9376.1
O95452	CCDS9291.1
Q9H4G1	CCDS13157.1
Q06520	CCDS12707.1
P51884	CCDS9038.1
P0C0E4	CCDS35353.1
Q8NEX6	CCDS13364.1
Q5D862	CCDS30861.1
Q93033	CCDS891.1
Q96T54	CCDS47419.1
Q96T54	CCDS4842.1
P51800	CCDS167.1
P51800	CCDS41269.1
P51800	CCDS57973.1
Q8N4P2	CCDS42784.1
Q7Z5P4	CCDS3618.1
Q7Z5P4	CCDS47097.1
Q15916	CCDS6846.1
O95803	CCDS3708.1
Q1HG44	CCDS10118.2
P56748	CCDS13587.1
H7C241	CCDS75951.1
O75106	CCDS11443.1
O75106	CCDS45690.1
O95484	CCDS10487.1
P98169	CCDS35313.1
Q6UXB3	CCDS6388.1
Q8N9V2	CCDS3851.1
P23409	CCDS9019.1
Q96D98	CCDS12539.1
Q92837	CCDS7455.1
Q9Y6X5	CCDS34468.1
A6NLJ0	CCDS32259.1
Q9P296	CCDS12699.1
P31273	CCDS8870.1
Q96EF9	CCDS56552.1
Q2TB90	CCDS7288.1
Q96HT8	CCDS3392.1
Q5QGT7	CCDS33911.1
P51684	CCDS5298.1
Q9NZQ7	CCDS59118.1
Q9NZQ7	CCDS6464.1
Q9GZX3	CCDS10918.1
O14657	CCDS6929.1
P59025	CCDS3287.2
Q9NUU6	CCDS3884.1
P51815	CCDS14648.1
P51815	CCDS55503.1
Q6UVW9	CCDS44829.1
Q6UVW9	CCDS8606.1
Q8NEX5	CCDS13362.1
P07357	CCDS606.1
Q96LB8	CCDS30871.1
Q6AI14	CCDS33264.1
Q99676	CCDS4624.1
O00204	CCDS12723.1
O00204	CCDS12724.1
P59536	CCDS43663.1
Q9NPC8	CCDS1822.1
Q9Y5L3	CCDS7025.1
Q9Y5L3	CCDS7026.1
P41231	CCDS8219.1
Q96LB9	CCDS1035.1
Q9UMX6	CCDS4865.1
Q6UWM5	CCDS76578.1
Q6UWM5	CCDS9009.1
Q8TE58	CCDS8488.1
P30559	CCDS2570.1
O75578	CCDS72869.1
O75578	CCDS76204.1
Q8N9F0	CCDS3359.2
P20061	CCDS7978.1
Q68J44	CCDS31223.1
P0CK96	CCDS44041.1
Q7Z5A9	CCDS54606.1
Q8WWA0	CCDS1211.1
Q9Y615	CCDS6772.1
Q6P4Q7	CCDS2024.2
B2RNN3	CCDS31947.1
Q7RTY0	CCDS11085.1
Q9UHA7	CCDS42734.1
Q8N1Q8	CCDS1005.1
Q9P0S9	CCDS4514.1
Q86WZ6	CCDS12636.1
Q86WZ6	CCDS74388.1
Q8NDV1	CCDS672.1
P12544	CCDS3965.1
P29033	CCDS9290.1
Q6WRX3	CCDS44148.1
Q6WRX3	CCDS76166.1
Q05901	CCDS6134.1
P13349	CCDS9020.1
Q9HCK0	CCDS6847.1
P49863	CCDS3964.1
Q9UP79	CCDS41732.1
Q8NCU7	CCDS32258.1
P0C263	CCDS42631.1
Q8WWU7	CCDS1212.1
Q15485	CCDS6983.1
P42685	CCDS5103.1
Q14210	CCDS6390.1
Q92482	CCDS6542.1
Q9H4D5	CCDS14503.1
O60938	CCDS9037.1
Q9UFN0	CCDS6760.1
P63252	CCDS11688.1
P15088	CCDS3138.1
Q9Y662	CCDS11167.1
O14950	CCDS11831.1
Q6PXP3	CCDS98.2
Q8NE01	CCDS2025.1
Q8NE01	CCDS2026.1
Q7Z6R9	CCDS4933.1
O15492	CCDS1348.1
Q8NCI6	CCDS44780.1
P52961	CCDS7744.1
Q9NZT1	CCDS7068.1
Q5JNZ3	CCDS34357.1
Q86SM8	CCDS41603.2
Q9UBY0	CCDS2062.1
O43174	CCDS7426.1
O43174	CCDS7427.1
P29322	CCDS225.1
P29322	CCDS30626.1
Q8TBE1	CCDS1544.1
P20849	CCDS47447.1
P20849	CCDS4971.1
Q9H4Y5	CCDS53574.1
Q9H4Y5	CCDS53575.1
Q9H4Y5	CCDS7556.1
Q5VUY2	CCDS30590.1
A6NGE4	CCDS35222.1
O75828	CCDS13642.1
P98168	CCDS14376.1
Q92806	CCDS1194.1
P34903	CCDS14706.1
Q5VZL5	CCDS389.1
O95837	CCDS6657.1
Q8NH09	CCDS31789.1
Q86UD4	CCDS12972.1
Q96PD4	CCDS4938.1
Q8TDS7	CCDS31625.1
Q8N1E2	CCDS2043.1
Q8IW52	CCDS14679.1
Q9NRD1	CCDS133.1
Q9Y5Y4	CCDS7994.1
O75881	CCDS6180.1
O95136	CCDS12229.1
Q4G1C9	CCDS58258.1
Q4G1C9	CCDS9010.1
P56704	CCDS1564.1
Q6UXL0	CCDS3093.1
P04278	CCDS11117.1
P04278	CCDS54082.1
P04278	CCDS54083.1
P04278	CCDS58513.1
Q6W3E5	CCDS8249.1
Q9H3M0	CCDS1676.1
Q9NP86	CCDS12709.1
Q13882	CCDS13524.1
Q13882	CCDS74750.1
Q9H3Y6	CCDS13525.1
Q96T25	CCDS9494.2
O00757	CCDS6711.1
Q9UHV2	CCDS12557.1
Q9HA64	CCDS11817.1
